claim,noise,model,alpha,seed,direction,threshold,exceedances,sample_size,empirical_tail,empirical_tail_cp95_low,empirical_tail_cp95_high,gaussian_tail,gap,gap_upper95,theorem_rate,normalized_upper
4,iid,contractive,0.08,2718,alternating,0.95,5119,32768,0.156219482421875,0.15230379837581853,0.16019620635160392,0.16283987544579825,0.0066203930239232545,0.010536077069979721,0.8896972255573977,0.011842317551770312
4,iid,contractive,0.08,2718,alternating,1.2,3310,32768,0.10101318359375,0.09777060372024844,0.10432667950209668,0.10721080139375283,0.00619761780000283,0.009440197673504389,0.7043436368996066,0.01340282949819556
4,iid,sgd,0.08,3141,axis_0,0.45,8970,32768,0.27374267578125,0.2689199465802521,0.27860553996429915,0.2730088051737921,0.0007338706074578871,0.005596734790507041,1.8782496983989507,0.0029797607822206946
4,iid,sgd,0.08,3141,axis_0,0.7,5845,32768,0.178375244140625,0.17424360217649779,0.1825639770787494,0.1738272400666594,0.004548004073965606,0.008736737012090018,1.2074462346850399,0.007235715149146148
4,iid,sgd,0.08,3141,axis_0,0.95,3562,32768,0.10870361328125,0.1053529386300611,0.11212382346454294,0.1012327333519929,0.0074708799292571015,0.010891090112550045,0.8896972255573977,0.012241344358162685
4,iid,sgd,0.08,3141,axis_0,1.2,2042,32768,0.06231689453125,0.05972321620860991,0.06498848442832046,0.05370231816512683,0.008614576366123172,0.011286166263193634,0.7043436368996066,0.016023664688550748
4,iid,sgd,0.08,3141,axis_3,0.45,8265,32768,0.252227783203125,0.24753241317878805,0.2569671095410262,0.24053995263804717,0.011687830565077828,0.016427156902979023,1.8782496983989507,0.008745992035554052
4,iid,sgd,0.08,3141,axis_3,0.7,4989,32768,0.152252197265625,0.14837798685776898,0.15618815529877778,0.1365409844100126,0.01571121285561239,0.019647170888765164,1.2074462346850399,0.016271673491027195
4,iid,sgd,0.08,3141,axis_3,0.95,2712,32768,0.082763671875,0.07980228170706447,0.08579926438822837,0.0684521350827646,0.014311536792235402,0.017347129305463768,0.8896972255573977,0.019497789593078414
4,iid,sgd,0.08,3141,axis_3,1.2,1335,32768,0.040740966796875,0.03862604705610495,0.04293777763699779,0.03013285555817935,0.01060811123869565,0.012804922078818441,0.7043436368996066,0.01817993576996506
4,iid,sgd,0.08,3141,mean,0.45,8114,32768,0.24761962890625,0.24295348453472093,0.25233054828596746,0.24014102836435636,0.007478600541893643,0.012189519921611103,1.8782496983989507,0.006489829297990379
4,iid,sgd,0.08,3141,mean,0.7,4750,32768,0.14495849609375,0.14116295316510147,0.14881708840310734,0.13610501592554702,0.008853480168202976,0.012712072477560316,1.2074462346850399,0.010528065028813673
4,iid,sgd,0.08,3141,mean,0.95,2451,32768,0.074798583984375,0.0719727912151816,0.07770001963551845,0.06809560300181894,0.0067029809825560616,0.009604416633699514,0.8896972255573977,0.010795151831211254
4,iid,sgd,0.08,3141,mean,1.2,1193,32768,0.036407470703125,0.03440540869811234,0.03849223913013925,0.029900092976545944,0.0065073777265790556,0.008592146153593307,0.7043436368996066,0.012198798574250463
4,iid,sgd,0.08,3141,alternating,0.45,8101,32768,0.247222900390625,0.24255930536389664,0.2519313409132513,0.24014102836435636,0.007081872026268643,0.011790312548894955,1.8782496983989507,0.0062772870715460255
4,iid,sgd,0.08,3141,alternating,0.7,4709,32768,0.143707275390625,0.13992555376827734,0.14755226979102087,0.13610501592554702,0.007602259465077976,0.01144725386547385,1.2074462346850399,0.009480549557107067
4,iid,sgd,0.08,3141,alternating,0.95,2464,32768,0.0751953125,0.07236255337097697,0.07810364264599297,0.06809560300181894,0.0070997094981810616,0.01000803964417403,0.8896972255573977,0.011248815166197653
4,iid,sgd,0.08,3141,alternating,1.2,1095,32768,0.033416748046875,0.03149702053680851,0.03541974993987874,0.029900092976545944,0.0035166550703290556,0.005519656963332793,0.7043436368996066,0.007836596618703515
4,iid,linear,0.08,3141,axis_0,0.45,9745,32768,0.297393798828125,0.2924473582215975,0.3023761753515621,0.29720815768556674,0.00018564114255825714,0.005168017665995339,1.8782496983989507,0.0027515072518849
4,iid,linear,0.08,3141,axis_0,0.7,6772,32768,0.2066650390625,0.20229178058206446,0.21109035309834137,0.2037641352509022,0.002900903811597799,0.00732621784743917,1.2074462346850399,0.006067531321053149
4,iid,linear,0.08,3141,axis_0,0.95,4425,32768,0.135040283203125,0.1313570547349076,0.13878833262727197,0.13049481332680246,0.004545469876322539,0.00829351930046951,0.8896972255573977,0.009321732227807722
4,iid,linear,0.08,3141,axis_0,1.2,2786,32768,0.08502197265625,0.08202368140867308,0.08809405861405445,0.07782434558402673,0.007197627072223267,0.010269713030027716,0.7043436368996066,0.014580543490437619
4,iid,linear,0.08,3141,axis_3,0.45,8879,32768,0.270965576171875,0.26615846852954356,0.27581331195645653,0.26225914010653817,0.008706436065336831,0.013554171849918362,1.8782496983989507,0.007216384414421655
4,iid,linear,0.08,3141,axis_3,0.7,5686,32768,0.17352294921875,0.16943644780455552,0.17766740598812195,0.16109940308129078,0.012423546137459218,0.016568002906831164,1.2074462346850399,0.013721524346922906
4,iid,linear,0.08,3141,axis_3,0.95,3369,32768,0.102813720703125,0.09954532926801143,0.10615270476568568,0.08955459636336105,0.01325912433976395,0.016598108402324632,0.8896972255573977,0.01865590666749115
4,iid,linear,0.08,3141,axis_3,1.2,1812,32768,0.0552978515625,0.05284738567098991,0.057827513266770755,0.04484301088518228,0.010454840677317723,0.012984502381588478,0.7043436368996066,0.01843489697549326
4,iid,linear,0.08,3141,mean,0.45,8799,32768,0.268524169921875,0.263730991830782,0.2733584097233889,0.26246134653937636,0.006062823382498639,0.010897063184012512,1.8782496983989507,0.00580171166448281
4,iid,linear,0.08,3141,mean,0.7,5483,32768,0.167327880859375,0.16330072287385106,0.1714140981373853,0.16133541967928666,0.005992461180088338,0.01007867845809865,1.2074462346850399,0.008347103306614439
4,iid,linear,0.08,3141,mean,0.95,3142,32768,0.09588623046875,0.09271893121732262,0.0991253673659735,0.0897667235307733,0.006119506937976693,0.009358643835200187,0.8896972255573977,0.010518908642585652
4,iid,linear,0.08,3141,mean,1.2,1655,32768,0.050506591796875,0.0481601995216216,0.05293306134891511,0.044999631262410245,0.005506960534464755,0.007933430086504864,0.7043436368996066,0.011263578842603577
4,iid,linear,0.08,3141,alternating,0.45,8732,32768,0.2664794921875,0.2616981226356581,0.27130228657841315,0.26246134653937636,0.004018145648123639,0.008840940039036793,1.8782496983989507,0.004707009960695294
4,iid,linear,0.08,3141,alternating,0.7,5458,32768,0.16656494140625,0.16254522811997998,0.1706438499671392,0.16133541967928666,0.005229521726963338,0.009308430287852526,1.2074462346850399,0.007709188219283829
4,iid,linear,0.08,3141,alternating,0.95,3133,32768,0.095611572265625,0.09244838284865817,0.09884664873242516,0.0897667235307733,0.005844848734851693,0.00907992520165185,0.8896972255573977,0.010205635064179562
4,iid,linear,0.08,3141,alternating,1.2,1620,32768,0.0494384765625,0.047116065563057224,0.05184116199075911,0.044999631262410245,0.004438845300089755,0.006841530728348866,0.7043436368996066,0.009713342138595938
4,iid,contractive,0.08,3141,axis_0,0.45,9300,32768,0.2838134765625,0.27893605723888004,0.2887292426852108,0.2846068247368555,0.0007933481743555015,0.00567076749797546,1.8782496983989507,0.003019176578497156
4,iid,contractive,0.08,3141,axis_0,0.7,6252,32768,0.1907958984375,0.18655380172890673,0.19509287452243795,0.18796029127403735,0.00283560716346265,0.0071325832484006035,1.2074462346850399,0.005907164264138953
4,iid,contractive,0.08,3141,axis_0,0.95,3925,32768,0.119781494140625,0.1162843347020214,0.12334620388976406,0.11474657436629188,0.005034919774333124,0.00859962952347218,0.8896972255573977,0.009665793346814685
4,iid,contractive,0.08,3141,axis_0,1.2,2361,32768,0.072052001953125,0.06927508917618708,0.07490505550666578,0.06452065254973405,0.007531349403390952,0.01038440295693173,0.7043436368996066,0.01474337583660441
4,iid,contractive,0.08,3141,axis_3,0.45,10193,32768,0.311065673828125,0.30605502780214666,0.3161098291032681,0.3099910034093183,0.0010746704188067113,0.0061188256939498364,1.8782496983989507,0.0032577274997917577
