claim,noise,model,alpha,seed,direction,threshold,exceedances,sample_size,empirical_tail,empirical_tail_cp95_low,empirical_tail_cp95_high,gaussian_tail,gap,gap_upper95,theorem_rate,normalized_upper
5,markov,linear,0.08,1729,mean,1.2,5558,32768,0.16961669921875,0.16556738825070455,0.17372466157212213,0.1804873593037899,0.010870660085039896,0.014919971053085346,0.7043436368996066,0.021182800938985356
5,markov,linear,0.08,1729,alternating,0.45,11817,32768,0.360626220703125,0.35542439231780293,0.36585276475431966,0.3659624897329099,0.005336269029784901,0.010538097415106973,1.8782496983989507,0.005610594493421089
5,markov,linear,0.08,1729,alternating,0.7,9491,32768,0.289642333984375,0.2847346358044855,0.2945873441194734,0.2970581682216714,0.007415834237296415,0.012323532417185923,1.2074462346850399,0.01020627839416841
5,markov,linear,0.08,1729,alternating,0.95,7396,32768,0.2257080078125,0.22119085459999271,0.23027383018819095,0.23478007531485945,0.009072067502359449,0.013589220714866734,0.8896972255573977,0.01527398346819959
5,markov,linear,0.08,1729,alternating,1.2,5569,32768,0.169952392578125,0.16589985516803113,0.1740635215520299,0.1804873593037899,0.010534966725664896,0.014587504135758766,0.7043436368996066,0.020710777199564583
5,markov,contractive,0.08,1729,axis_0,0.45,11574,32768,0.35321044921875,0.3480332573259043,0.3584136723100556,0.37953609687796397,0.02632564765921397,0.03150283955205968,1.8782496983989507,0.01677244488787257
5,markov,contractive,0.08,1729,axis_0,0.7,9781,32768,0.298492431640625,0.29354063865595836,0.3034799655256065,0.3166497507581355,0.018157319117510506,0.023109112102177143,1.2074462346850399,0.019138833215381314
5,markov,contractive,0.08,1729,axis_0,0.95,8092,32768,0.2469482421875,0.2422864151997714,0.25165496347069466,0.25866180238214476,0.011713560194644757,0.016375387182373358,0.8896972255573977,0.018405572943215747
5,markov,contractive,0.08,1729,axis_0,1.2,6559,32768,0.200164794921875,0.19584396822558725,0.2045388336314944,0.20671712695869493,0.00655233203681993,0.01087315873310768,0.7043436368996066,0.015437292485482456
5,markov,contractive,0.08,1729,axis_3,0.45,12116,32768,0.3697509765625,0.3645206772873672,0.37500437290412336,0.39466305647493005,0.024912079912430052,0.03014237918756285,1.8782496983989507,0.016048121404335473
5,markov,contractive,0.08,1729,axis_3,0.7,10402,32768,0.31744384765625,0.3124050049468365,0.3225150676747735,0.33884318576627004,0.02139933811002004,0.026438180819433554,1.2074462346850399,0.021895948705600052
5,markov,contractive,0.08,1729,axis_3,0.95,8807,32768,0.268768310546875,0.2639737311869327,0.27360390825953285,0.2863570239956348,0.017588713448759785,0.022383292808702104,0.8896972255573977,0.025158325962721655
5,markov,contractive,0.08,1729,axis_3,1.2,7326,32768,0.22357177734375,0.21907007358539204,0.22812253004493385,0.23807901327402803,0.014507235930278028,0.019008939688635984,0.7043436368996066,0.026988161307611017
5,markov,contractive,0.08,1729,mean,0.45,12146,32768,0.37066650390625,0.365433459124427,0.3759224833590921,0.40096418930337396,0.030297685397123963,0.03553073017894698,1.8782496983989507,0.018916936448457267
5,markov,contractive,0.08,1729,mean,0.7,10392,32768,0.317138671875,0.3121011532779797,0.3222086219389875,0.3481889555140353,0.03105028363903528,0.036087802236055566,1.2074462346850399,0.029887709447757732
5,markov,contractive,0.08,1729,mean,0.95,8735,32768,0.266571044921875,0.26178914383628576,0.27139435458674094,0.29820266550902386,0.031631620587148856,0.03641352167273809,0.8896972255573977,0.04092799283478143
5,markov,contractive,0.08,1729,mean,1.2,7243,32768,0.221038818359375,0.2165556547007567,0.22557148130314855,0.2517671280876175,0.030728309728242476,0.03521147338686079,0.7043436368996066,0.049991895350762774
5,markov,contractive,0.08,1729,alternating,0.45,12935,32768,0.394744873046875,0.3894467632089091,0.400061646892219,0.40096418930337396,0.0062193162564989635,0.011517426094464878,1.8782496983989507,0.006131999437711882
5,markov,contractive,0.08,1729,alternating,0.7,11075,32768,0.337982177734375,0.3328598733636177,0.3431332150044585,0.3481889555140353,0.010206777779660281,0.015329082150417561,1.2074462346850399,0.012695457329755244
5,markov,contractive,0.08,1729,alternating,0.95,9282,32768,0.28326416015625,0.2783896457932833,0.28817711884779396,0.29820266550902386,0.014938505352773856,0.019813019715740565,0.8896972255573977,0.022269395864787208
5,markov,contractive,0.08,1729,alternating,1.2,7679,32768,0.234344482421875,0.22976657561879613,0.2389695232339842,0.2517671280876175,0.017422645665742476,0.02200055246882135,0.7043436368996066,0.03123553804739943
5,markov,sgd,0.08,2718,axis_0,0.45,11370,32768,0.34698486328125,0.3418294057266431,0.35216745649352776,0.37247556690636774,0.02549070362511774,0.03064616117972463,1.8782496983989507,0.016316340263942485
5,markov,sgd,0.08,2718,axis_0,0.7,9492,32768,0.2896728515625,0.2847649974631933,0.2946180121992316,0.30641843457937845,0.01674558301687845,0.02165343711618517,1.2074462346850399,0.017933251596774766
5,markov,sgd,0.08,2718,axis_0,0.95,7788,32768,0.2376708984375,0.23307030618083646,0.24231803352236164,0.24611934532395208,0.008448446886452077,0.013049039143115615,0.8896972255573977,0.014666831331232213
5,markov,sgd,0.08,2718,axis_0,1.2,6243,32768,0.190521240234375,0.18628150961691817,0.19481589911889527,0.19284038841101792,0.0023191481766429156,0.006558878794099748,0.7043436368996066,0.009312043795796535
5,markov,sgd,0.08,2718,axis_3,0.45,10800,32768,0.32958984375,0.32450031101166055,0.3347095984648956,0.3521093892282766,0.022519545478276615,0.027609078216616068,1.8782496983989507,0.014699365180332772
