claim,noise,model,alpha,seed,direction,threshold,empirical_tail,gaussian_tail,gap,gap_upper95,theorem_rate,normalized_upper
4,iid,sgd,0.02,1729,axis_0,0.45,0.27154541015625,0.2730088051737921,0.0014633950175421129,0.006279030204761408,1.6528965956308097,0.0037988040034440786
4,iid,sgd,0.02,1729,axis_0,0.7,0.176605224609375,0.1738272400666594,0.002777984542715606,0.006906908942624646,1.0625763829055206,0.006500152886645493
4,iid,sgd,0.02,1729,axis_0,0.95,0.104705810546875,0.1012327333519929,0.0034730771948821015,0.0067881981478716096,0.7829510189830152,0.008670016365377344
4,iid,sgd,0.02,1729,axis_0,1.2,0.056884765625,0.05370231816512683,0.0031824474598731722,0.005690354707348905,0.6198362233615538,0.00918041652436581
4,iid,sgd,0.02,1729,axis_3,0.45,0.2362060546875,0.24053995263804717,0.004333897950547172,0.008932911852972758,1.6528965956308097,0.005404398482388798
4,iid,sgd,0.02,1729,axis_3,0.7,0.1380615234375,0.1365409844100126,0.0015205390274873887,0.005255667707838629,1.0625763829055206,0.004946155205772101
4,iid,sgd,0.02,1729,axis_3,0.95,0.072052001953125,0.0684521350827646,0.003599866870360402,0.006399595571933314,0.7829510189830152,0.008173685730999913
4,iid,sgd,0.02,1729,axis_3,1.2,0.0318603515625,0.03013285555817935,0.00172749600432065,0.0036291232399627074,0.6198362233615538,0.005854971205588642
4,iid,sgd,0.02,1729,mean,0.45,0.235198974609375,0.24014102836435636,0.004942053754981357,0.009534277571941405,1.6528965956308097,0.005768223854501166
4,iid,sgd,0.02,1729,mean,0.7,0.133270263671875,0.13610501592554702,0.0028347522536720238,0.006514682450571397,1.0625763829055206,0.006131025077705546
4,iid,sgd,0.02,1729,mean,0.95,0.068603515625,0.06809560300181894,0.0005079126231810616,0.003244892390731198,0.7829510189830152,0.0041444385562535305
4,iid,sgd,0.02,1729,mean,1.2,0.0322265625,0.029900092976545944,0.0023264695234540556,0.004238632673142356,0.6198362233615538,0.006838310691419432
4,iid,sgd,0.02,1729,alternating,0.45,0.243438720703125,0.24014102836435636,0.003297692338768643,0.007944428215486087,1.6528965956308097,0.004806367341118628
4,iid,sgd,0.02,1729,alternating,0.7,0.138275146484375,0.13610501592554702,0.0021701305588279762,0.00590768456638214,1.0625763829055206,0.005559774018530416
4,iid,sgd,0.02,1729,alternating,0.95,0.069976806640625,0.06809560300181894,0.0018812036388060616,0.004643403209471247,0.7829510189830152,0.005930643292989925
4,iid,sgd,0.02,1729,alternating,1.2,0.0303955078125,0.029900092976545944,0.0004954148359540556,0.002354216767370787,0.6198362233615538,0.003798127115906809
4,iid,linear,0.02,1729,axis_0,0.45,0.297454833984375,0.29720815768556674,0.00024667629880825714,0.005196374784301636,1.6528965956308097,0.0031437990725115485
4,iid,linear,0.02,1729,axis_0,0.7,0.20550537109375,0.2037641352509022,0.0017412358428477992,0.006116337769241031,1.0625763829055206,0.005756139386908308
4,iid,linear,0.02,1729,axis_0,0.95,0.13348388671875,0.13049481332680246,0.0029890733919475387,0.00667149785728687,0.7829510189830152,0.008520964524642374
4,iid,linear,0.02,1729,axis_0,1.2,0.081207275390625,0.07782434558402673,0.003382929806598267,0.006340515572868651,0.6198362233615538,0.010229340160989904
4,iid,linear,0.02,1729,axis_3,0.45,0.2591552734375,0.26225914010653817,0.003103866669038169,0.00784819488368865,1.6528965956308097,0.0047481463174612396
4,iid,linear,0.02,1729,axis_3,0.7,0.160491943359375,0.16109940308129078,0.0006074597219157818,0.004581846743626958,1.0625763829055206,0.004312016356977845
4,iid,linear,0.02,1729,axis_3,0.95,0.09222412109375,0.08955459636336105,0.0026695247303889502,0.005802396979117405,0.7829510189830152,0.007410932278566046
4,iid,linear,0.02,1729,axis_3,1.2,0.047576904296875,0.04484301088518228,0.0027338934116927227,0.00503875130032043,0.6198362233615538,0.008129165593120394
4,iid,linear,0.02,1729,mean,0.45,0.257080078125,0.26246134653937636,0.005381268414376361,0.010113176691147217,1.6528965956308097,0.006118456966926982
4,iid,linear,0.02,1729,mean,0.7,0.157745361328125,0.16133541967928666,0.0035900583511616624,0.007536731020785748,1.0625763829055206,0.007092883995950698
4,iid,linear,0.02,1729,mean,0.95,0.0892333984375,0.0897667235307733,0.0005333250932733069,0.0036200531446778203,0.7829510189830152,0.004623601038772454
